,word,",",DT,.,IN,TO,CC,POS,$,VBZ,``,'',VBD,NN,PRP,CD,NNP,VBP,VB,PRP$,RB,MD,WDT,:,WP,VBN,JJ,NNS,-RRB-,-LRB-,JJR,WRB,RP,RBR,EX,VBG,JJS,RBS,WP$,PDT,NNPS,#,FW,SYM,LS,UH
0,",",46522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,the,,39517.0,,,,,,,,,,,1.0,,1.0,6.0,1.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,
2,.,,,37453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,of,,,,22100.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,
4,to,,,,2.0,21303.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
5,a,,18446.0,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,7.0,10.0,2.0,
6,and,,,,1.0,,15351.0,,,,,,,2.0,,,2.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
7,in,,,,14396.0,,,,,,,,,1.0,,,,,,,45.0,,,,,,,,,,,,165.0,1.0,,,,,,,,,1.0,,,
8,for,,,,7736.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,
9,'s,,,,,,,7687.0,,1178.0,,,,,5.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
10,$,,,,,,,,6777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,is,,,,,,,,,6733.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
12,``,,,,,,,,,,6673.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,The,,6543.0,,,,,,,,,,,,,,35.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,'',,,,,,,,,,,6500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,said,,,,,,,,,,,,5341.0,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,
16,on,,,,4778.0,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,98.0,,,,,,,,,,,,,
17,%,,,,,,,,,,,,,4708.0,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,
18,that,,1095.0,,4664.0,,,,,,,,,1.0,,,,1.0,,,22.0,,1940.0,,,,,,,,,,,,,,,,,,,,,,,
19,it,,,,,,,,,,,,,,4509.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,by,,,,4260.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,11.0,,,,,,,,,,,,,
21,from,,,,4238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,at,,,,4141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
23,million,,,,,,,,,,,,,,,4122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,with,,,,3983.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,
25,Mr.,,,,,,,,,,,,,,,,3856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,are,,,,1.0,,,,,,,,,1.0,,,1.0,3626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,was,,,,,,,,,,,,3615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,be,,,,,,,,,,,,,,,,,1.0,3583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,its,,,,,,,,,,,,,,,,,,,3382.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30,as,,,,3355.0,,,,,,,,,,,,,,,,699.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
31,has,,,,,,,,,3182.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
32,n't,,,,,,,,,,,,,,,,,,,,3132.0,,,,,,,,,,,,,,,,,,,,,,,,,
33,an,1.0,3014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,will,,,,,,,,,,,,,19.0,,,,,1.0,,,2962.0,,,,,,,,,,,,,,,,,,,,,,,,
35,he,,,,,,,,,,,,,,2496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,or,,,,,,2431.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,company,,,,,,,,,,,,,2429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,which,,,,1.0,,,,,,,,,,,,,,,,,,2163.0,,,,,,,,,,,,,,,,,,,,,,,
39,year,,,,,,,,,,,,,2162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,would,,,,,,,,,,,,,,,,,,,,,2108.0,,,,,,,,,,,,,,,,,,,,,,,,
41,--,,,,,,,,,,,,,,,,,,,,,,,2005.0,,,,,,,,,,,,,,,,,,,,,,
42,says,,,,,,,,,1948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,have,,,,,,,,,,,,1.0,,,,,1932.0,1059.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
44,they,,,,,,,,,,,,,,1904.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,this,,1842.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
46,were,,,,,,,,,,,,1777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,market,,,,,,,,,,,,,1739.0,,,,2.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,In,,,,1699.0,,,,,,,,,,,,5.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
49,billion,,,,,,,,,,,,,,,1680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,But,,,,1.0,,1666.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,their,,,,,,,,,,,,,,,,,,,1655.0,,,,,,,,,,,,,,,,,,,,,,,,,,
52,than,,,,1585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
53,had,,,,,,,,,,,,1550.0,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,
54,U.S.,,,,,,,,,,,,,,,,1549.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
55,his,,,,,,,,,,,,,,1.0,,,,,1546.0,,,,,,,,,,,,,,,,,,,,,,,,,,
56,but,,,,5.0,,1544.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
57,who,,,,,,,,,,,,,,,,,,,,,,,,1509.0,,,,,,,,,,,,,,,,,,,,,
58,been,,,,,,,,,,,,,,,,,,,,,,,,,1500.0,,,,,,,,,,,,,,,,,,,,
59,about,,,,1486.0,,,,,,,,,,,,,,,,490.0,,,,,,,,,,,,14.0,1.0,,,,,,,,,,,,
60,also,,,,,,,,,,,,,,,,,,,,1399.0,,,,,,,,,,,,,,,,,,,,,,,,,
61,new,,,,,,,,,,,,,,,,,,,,,,,,,,1384.0,,,,,,,,,,,,,,,,,,,
62,other,,,,,,,,,,,,,,,,,,,,,,,,,,1344.0,,,,,,,,,,,,,,,,,,,
63,share,,,,,,,,,,,,,1335.0,,,,5.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,:,,,,,,,,,,,,,,,,,,,,,,,1293.0,,,,,,,,,,,,,,,,,,,,,,
65,not,,,,,,,,,,,,,,,,,,,,1262.0,,,,,,,,,,,,,,,,,,,,,,,,,
66,some,,1243.0,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
67,one,,,,,,,,,,,,,115.0,33.0,1199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,I,,,,,,,,,,,,,3.0,1178.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Corp.,,,,,,,,,,,,,6.0,,,1157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,New,,,,,,,,,,,,,,,,1155.0,,,,,,,,,,24.0,,,,,,,,,,,,,,2.0,,,,,
71,;,,,,,,,,,,,,,,,,,,,,,,,1144.0,,,,,,,,,,,,,,,,,,,,,,
72,years,,,,,,,,,,,,,,,,,,,,,,,,,,,1130.0,,,,,,,,,,,,,,,,,,
73,-RRB-,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122.0,,,,,,,,,,,,,,,,,
74,-LRB-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1109.0,,,,,,,,,,,,,,,,
75,shares,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,1105.0,,,,,,,,,,,,,,,,,,
76,stock,,,,,,,,,,,,,1092.0,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,It,,,,,,,,,,,,,,1088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,more,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1076.0,,,764.0,,,,,,,,,,,,
79,could,,,,,,,,,,,,,,,,,,,,,1033.0,,,,,,,,,,,,,,,,,,,,,,,,
80,Inc.,,,,,,,,,,,,,7.0,,,1011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,two,,,,,,,,,,,,,,,988.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,last,,,,,,,,,,,,,2.0,,,,,16.0,,11.0,,,,,,980.0,,,,,,,,,,,,,,,,,,,
83,&,,,,,,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
84,when,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936.0,,,,,,,,,,,,,,
85,because,,,,923.0,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,
86,trading,,,,,,,,,,,,,912.0,,,,,,,,,,,,,3.0,,,,,,,,,103.0,,,,,,,,,,
87,can,,,,,,,,,,,,,3.0,,,,,,,,893.0,,,,,,,,,,,,,,,,,,,,,,,,
88,York,,,,,,,,,,,,,,,,888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,into,,,,881.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,president,,,,,,,,,,,,,868.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,business,,,,,,,,,,,,,858.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,after,,,,857.0,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
93,Co.,,,,,,,,,,,,,,,,854.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
