first,second,max_tag,appearances
IN,the,DT,21103
NN,",",",",14486
NN,.,.,13754
NN,of,IN,13095
NNP,",",",",12172
NNS,.,.,7730
NNS,",",",",7169
$,numeric-word,CD,6230
BOS,The,DT,5976
IN,a,DT,5824
NN,to,TO,5065
NN,in,IN,4985
NNP,.,.,4747
NNP,'s,POS,4764
CD,%,NN,4717
NN,and,CC,4462
IN,numeric-word,CD,4123
CD,million,CD,4107
NNS,of,IN,3715
CD,",",",",3330
",",the,DT,3233
NNS,and,CC,3122
NN,for,IN,2933
VB,the,DT,2906
BOS,``,``,2853
RB,",",",",2820
NN,'s,POS,2850
",",'','',2627
NN,is,VBZ,2617
NNS,in,IN,2554
CD,.,.,2523
IN,$,$,2519
NNP,and,CC,2502
VBD,the,DT,2438
NNS,to,TO,2293
.,'','',2179
",",and,CC,2092
VBN,to,TO,2081
MD,be,VB,2039
VBN,by,IN,2025
",",a,DT,2002
NNS,are,VBP,1845
JJ,",",",",1717
NNP,said,VBD,1699
VB,a,DT,1690
CD,billion,CD,1673
VBD,a,DT,1645
DT,company,NN,1638
BOS,In,IN,1633
",",which,WDT,1630
VBD,to,TO,1628
JJ,to,TO,1620
NNP,numeric-word,CD,1624
BOS,But,CC,1589
IN,its,PRP$,1571
TO,the,DT,1566
CC,the,DT,1543
NN,on,IN,1496
VBG,the,DT,1444
VBD,numeric-word,CD,1424
RB,.,.,1414
TO,numeric-word,CD,1410
JJ,.,.,1405
VBZ,the,DT,1385
NN,was,VBD,1363
NNS,for,IN,1363
VBG,to,TO,1342
VBZ,a,DT,1338
CD,to,TO,1311
VBD,.,.,1307
NN,from,IN,1272
VBN,in,IN,1298
DT,year,NN,1258
NNP,of,IN,1221
NN,at,IN,1200
BOS,Mr.,NNP,1158
",",but,CC,1104
NN,with,IN,1083
VB,to,TO,1077
NNP,Corp.,NNP,1047
DT,numeric-word,CD,1046
DT,share,NN,1038
NNP,is,VBZ,1035
CD,of,IN,1034
VBZ,to,TO,1032
VBD,it,PRP,1026
IN,an,DT,1023
TO,be,VB,1017
",",or,CC,1008
IN,it,PRP,1003
VBD,that,IN,1087
NN,that,WDT,1865
NNP,&,CC,955
TO,$,$,945
VBN,.,.,942
NNS,were,VBD,897
NN,has,VBZ,893
VBZ,n't,RB,889
NN,said,VBD,882
NNP,York,NNP,874
NNS,have,VBP,879
VBG,a,DT,862
RB,numeric-word,CD,853
JJ,and,CC,843
DT,U.S.,NNP,845
NNS,on,IN,838
NNP,Inc.,NNP,822
RB,to,TO,807
CD,a,DT,804
NN,by,IN,799
JJR,than,IN,780
NNP,has,VBZ,777
CD,years,NNS,773
VBP,n't,RB,773
BOS,He,PRP,766
PRP,is,VBZ,766
",",numeric-word,CD,755
BOS,It,PRP,754
MD,n't,RB,746
BOS,A,DT,744
NN,will,MD,744
NNS,from,IN,740
CD,cents,NNS,725
",",said,VBD,721
DT,new,JJ,719
VBD,n't,RB,717
NNP,in,IN,718
CD,in,IN,713
JJ,year,NN,712
CC,numeric-word,CD,711
VBP,the,DT,705
DT,$,$,699
NNS,that,WDT,1046
",",Mr.,NNP,696
",",he,PRP,691
IN,their,PRP$,684
IN,his,PRP$,679
'',says,VBZ,676
IN,of,IN,672
PRP,'s,VBZ,683
PRP,said,VBD,662
JJ,as,IN,670
NNP,to,TO,658
VBD,",",",",656
NNS,a,DT,653
PRP,was,VBD,648
NN,'','',647
VBZ,.,.,646
VBN,",",",",642
VBP,to,TO,638
IN,Mr.,NNP,626
IN,this,DT,623
VBN,with,IN,617
VBZ,that,IN,662
NNS,at,IN,602
NN,--,:,595
NNP,Co.,NNP,592
VB,.,.,591
",",``,``,584
DT,market,NN,570
VBN,at,IN,559
NN,would,MD,558
NNS,will,MD,555
MD,have,VB,555
DT,of,IN,552
RB,in,IN,551
IN,they,PRP,545
VBD,in,IN,587
VBZ,been,VBN,539
",",who,WP,538
NNS,with,IN,537
NN,as,IN,619
NNS,said,VBD,526
JJ,of,IN,525
TO,a,DT,524
IN,``,``,520
VBZ,",",",",520
JJ,numeric-word,CD,516
DT,first,JJ,521
:,numeric-word,CD,513
VBN,a,DT,507
BOS,And,CC,500
",",it,PRP,500
PRP,.,.,499
NN,numeric-word,CD,499
VB,its,PRP$,498
CC,a,DT,498
NN,or,CC,497
RB,the,DT,496
RB,a,DT,490
CD,months,NNS,485
",",in,IN,483
VBN,the,DT,481
VBN,for,IN,481
NN,market,NN,475
'',said,VBD,473
IN,New,NNP,475
NNS,',POS,471
NNP,was,VBD,465
JJ,quarter,NN,464
CD,and,CC,458
PRP,will,MD,456
CD,from,IN,454
DT,``,``,452
``,The,DT,469
NNS,--,:,448
PRP,would,MD,445
NN,:,:,444
VB,",",",",439
RB,be,VB,439
",",to,TO,435
RB,as,IN,521
VBD,$,$,434
VBN,on,IN,455
VBD,its,PRP$,422
NNS,by,IN,423
BOS,For,IN,420
PRP,says,VBZ,420
CC,$,$,419
'',he,PRP,418
NNS,who,WP,412
VB,in,IN,465
PRP,has,VBZ,408
",",is,VBZ,406
IN,some,DT,411
",",an,DT,405
``,I,PRP,405
JJ,in,IN,400
``,We,PRP,399
VB,it,PRP,399
NNS,;,:,394
VBP,a,DT,394
CD,shares,NNS,392
PRP,are,VBP,391
VBP,been,VBN,389
NNP,says,VBZ,387
IN,he,PRP,383
WRB,the,DT,376
NNP,will,MD,375
JJ,trading,NN,385
IN,that,DT,402
DT,government,NN,361
",",with,IN,359
IN,all,DT,429
BOS,That,DT,388
CC,other,JJ,353
NN,;,:,350
PRP,",",",",350
RB,$,$,349
NNS,as,IN,425
VB,numeric-word,CD,348
JJ,for,IN,348
NNS,say,VBP,359
IN,other,JJ,346
",",for,IN,345
NNP,Exchange,NNP,345
BOS,They,PRP,344
IN,which,WDT,341
",",they,PRP,339
NNP,for,IN,338
VB,on,IN,371
VBP,that,IN,379
IN,one,CD,350
",",as,IN,415
JJ,market,NN,332
",",was,VBD,331
PRP,'re,VBP,331
RB,from,IN,331
NNPS,",",",",329
VB,their,PRP$,329
DT,stock,NN,327
JJ,week,NN,326
NN,prices,NNS,326
DT,New,NNP,328
",",including,VBG,324
CD,days,NNS,326
PRP,have,VBP,334
PRP$,own,JJ,321
RB,of,IN,320
NN,who,WP,315
NN,president,NN,312
VBD,at,IN,312
``,It,PRP,308
CD,-RRB-,-RRB-,308
PRP,had,VBD,307
NN,``,``,303
BOS,At,IN,302
",",says,VBZ,300
VBG,for,IN,300
NN,had,VBD,298
JJ,income,NN,297
:,``,``,296
BOS,As,IN,312
IN,any,DT,293
NNS,would,MD,293
DT,same,JJ,292
NNP,had,VBD,293
NNP,Stock,NNP,291
BOS,Some,DT,293
NN,rates,NNS,288
",",according,VBG,286
CC,it,PRP,285
TO,make,VB,284
DT,week,NN,284
VB,up,RP,337
NN,the,DT,282
VB,for,IN,282
IN,least,JJS,286
TO,buy,VB,280
BOS,This,DT,279
NNP,--,:,278
NNP,-LRB-,-LRB-,277
VBN,as,IN,301
PRP,to,TO,275
NN,could,MD,272
",",up,RB,348
VBD,an,DT,272
NNP,-RRB-,-RRB-,272
DT,other,JJ,271
WDT,is,VBZ,270
PRP,can,MD,269
VBZ,in,IN,275
DT,past,JJ,333
PRP,do,VBP,269
DT,state,NN,263
JJ,'','',262
NNS,is,VBZ,262
VBZ,an,DT,260
NN,also,RB,259
DT,is,VBZ,258
NN,trading,NN,263
DT,two,CD,256
NN,company,NN,256
NNP,Board,NNP,256
JJ,time,NN,255
VBP,",",",",255
RP,the,DT,254
VBZ,not,RB,253
NN,a,DT,251
VBG,in,IN,285
NNP,Street,NNP,250
DT,major,JJ,249
CC,Co.,NNP,247
DT,time,NN,247
VB,an,DT,247
NNP,also,RB,247
",",has,VBZ,247
VBP,.,.,246
NN,over,IN,248
BOS,If,IN,244
NN,bonds,NNS,244
IN,September,NNP,243
TO,sell,VB,242
",",while,IN,241
'',Mr.,NNP,241
NN,after,IN,244
NNP,Bank,NNP,240
IN,",",",",239
IN,those,DT,239
VBD,been,VBN,239
IN,two,CD,239
NNP,Group,NNP,239
NNS,-LRB-,-LRB-,239
NN,rose,VBD,240
NN,rate,NN,236
:,the,DT,240
NNP,Bush,NNP,233
NN,because,IN,235
VB,that,IN,350
RB,on,IN,243
CD,for,IN,230
BOS,One,CD,238
JJ,company,NN,229
VBG,that,IN,272
",",however,RB,229
CD,1\/2,CD,228
JJ,companies,NNS,228
VBG,.,.,228
:,and,CC,232
NNS,or,CC,226
IN,many,JJ,228
JJ,shares,NNS,225
JJ,investors,NNS,225
JJ,stock,NN,225
DT,end,NN,224
NNS,:,:,224
",",will,MD,223
-RRB-,",",",",222
NNS,'','',221
DT,third,JJ,227
NN,earlier,RBR,333
RBR,than,IN,220
DT,month,NN,219
VB,$,$,218
CC,Mr.,NNP,217
RB,well,RB,217
NNP,Department,NNP,217
",",when,WRB,215
TO,have,VB,215
IN,about,IN,380
PRP,could,MD,214
JJ,month,NN,214
WDT,has,VBZ,214
IN,Japan,NNP,214
NNP,'','',213
EX,is,VBZ,212
IN,to,TO,212
VBN,from,IN,212
JJ,business,NN,212
NNP,Jones,NNP,212
RB,have,VB,320
RB,and,CC,211
DT,most,RBS,243
NNS,about,IN,212
VB,with,IN,213
DT,number,NN,209
NNS,rose,VBD,210
DT,day,NN,208
NNP,:,:,208
TO,get,VB,208
JJS,of,IN,208
RB,has,VBZ,207
NN,business,NN,207
DT,way,NN,207
VBD,he,PRP,207
NNP,Francisco,NNP,207
JJ,years,NNS,206
PRP,were,VBD,206
NN,are,VBP,206
VBN,that,IN,238
NN,can,MD,207
DT,sale,NN,204
NN,when,WRB,204
CD,on,IN,204
IN,U.S.,NNP,202
DT,issue,NN,202
NN,last,JJ,203
RB,been,VBN,201
JJ,with,IN,201
TO,yield,VB,202
",",from,IN,200
RBR,.,.,200
NN,between,IN,198
VB,at,IN,198
PRP,also,RB,198
CD,3\/4,CD,198
DT,federal,JJ,197
BOS,On,IN,197
VBP,not,RB,197
DT,next,JJ,196
JJ,by,IN,196
RB,is,VBZ,196
PRP,did,VBD,196
CD,yen,NNS,334
JJ,that,IN,206
DT,country,NN,195
DT,price,NN,195
DT,few,JJ,194
MD,not,RB,194
NNP,would,MD,194
VBN,and,CC,194
NN,about,IN,200
NNS,had,VBD,196
",",president,NN,193
NN,may,MD,193
VBZ,it,PRP,193
.,-RRB-,-RRB-,193
VBD,they,PRP,193
WDT,would,MD,193
DT,group,NN,192
IN,recent,JJ,192
CC,in,IN,192
VBZ,``,``,192
IN,such,JJ,221
BOS,I,PRP,192
JJ,interest,NN,191
VBD,Mr.,NNP,191
BOS,While,IN,191
JJ,earnings,NNS,193
IN,these,DT,190
VBG,on,IN,210
CC,",",",",190
NNS,ago,RB,254
VBD,for,IN,189
DT,world,NN,189
NN,-LRB-,-LRB-,188
VBZ,numeric-word,CD,186
RB,for,IN,186
RP,a,DT,185
DT,big,JJ,185
-RRB-,.,.,185
VBP,in,IN,199
JJ,government,NN,184
IN,August,NNP,184
NN,than,IN,184
CC,that,IN,289
VBG,",",",",183
VB,them,PRP,183
IN,more,JJR,233
IN,them,PRP,183
IN,we,PRP,182
IN,addition,NN,179
EX,are,VBP,179
NNPS,.,.,179
VBZ,Mr.,NNP,179
DT,case,NN,179
-LRB-,$,$,179
NN,this,DT,178
VBG,its,PRP$,178
IN,.,.,177
DT,second,JJ,186
CC,to,TO,177
NN,against,IN,177
DT,dollar,NN,177
'',and,CC,176
IN,what,WP,183
BOS,When,WRB,175
NN,price,NN,175
TO,pay,VB,174
CC,he,PRP,174
VBD,``,``,173
NNS,could,MD,173
VBD,his,PRP$,174
NN,stake,NN,173
NN,officials,NNS,172
VB,any,DT,172
NNPS,Inc.,NNP,172
",",at,IN,172
DT,current,JJ,175
NNS,can,MD,170
IN,example,NN,170
",",of,IN,170
VB,from,IN,170
DT,result,NN,170
DT,industry,NN,170
WDT,are,VBP,169
NN,into,IN,169
DT,",",",",169
NNS,also,RB,169
DT,nation,NN,168
RB,by,IN,168
DT,bank,NN,168
DT,unit,NN,167
NN,industry,NN,167
TO,take,VB,167
DT,'s,VBZ,170
NN,companies,NNS,167
IN,our,PRP$,166
NNS,such,JJ,166
JJ,period,NN,166
NNPS,and,CC,166
NN,group,NN,166
NNS,may,MD,166
RB,than,IN,165
CC,its,PRP$,165
",",on,IN,165
VBZ,expected,VBN,165
JJ,sales,NNS,165
PRP,'ve,VBP,167
NN,yesterday,NN,165
IN,each,DT,164
VB,and,CC,164
JJ,estate,NN,164
DT,latest,JJS,164
",",compared,VBN,164
NNP,House,NNP,163
RB,much,JJ,263
BOS,There,EX,165
IN,new,JJ,162
IN,you,PRP,162
VBD,on,IN,174
VB,his,PRP$,161
NN,it,PRP,161
RB,are,VBP,161
NNP,shares,NNS,162
PDT,the,DT,160
NN,funds,NNS,160
NN,-RRB-,-RRB-,159
NNP,unit,NN,158
CC,they,PRP,158
",",down,RB,196
JJR,.,.,157
IN,last,JJ,156
IN,most,JJS,166
VBZ,no,DT,165
EX,'s,VBZ,163
IN,Congress,NNP,154
TO,do,VB,154
VBD,up,RP,299
NN,sales,NNS,152
DT,board,NN,151
DT,House,NNP,154
NNP,as,IN,161
JJ,U.S.,NNP,151
RB,at,IN,151
NNP,officials,NNS,151
NNS,outstanding,JJ,150
DT,lot,NN,156
VBP,it,PRP,150
NNP,International,NNP,149
