,word,max_tag,appearances
0,",",",",46522
1,the,DT,39530
2,.,.,37453
3,of,IN,22104
4,to,TO,21305
5,numeric-word,CD,21241
6,a,DT,18469
7,and,CC,15358
8,in,IN,14606
9,for,IN,7743
10,'s,POS,8870
11,$,$,6777
12,is,VBZ,6735
13,``,``,6673
14,The,DT,6578
15,'','',6500
16,said,VBD,5418
17,on,IN,4905
18,%,NN,4718
19,that,IN,7721
20,it,PRP,4509
21,by,IN,4274
22,from,IN,4238
23,at,IN,4141
24,million,CD,4122
25,with,IN,3986
26,Mr.,NNP,3856
27,are,VBP,3626
28,was,VBD,3615
29,be,VB,3583
30,its,PRP$,3382
31,as,IN,4054
32,has,VBZ,3182
33,n't,RB,3132
34,an,DT,3014
35,will,MD,2981
36,he,PRP,2496
37,or,CC,2431
38,company,NN,2429
39,which,WDT,2163
40,year,NN,2162
41,would,MD,2108
42,--,:,2005
43,says,VBZ,1948
44,have,VBP,2991
45,they,PRP,1904
46,this,DT,1842
47,were,VBD,1777
48,market,NN,1760
49,In,IN,1704
50,billion,CD,1680
51,But,CC,1666
52,their,PRP$,1655
53,than,IN,1585
54,had,VBD,1625
55,U.S.,NNP,1551
56,his,PRP$,1546
57,but,CC,1552
58,who,WP,1509
59,been,VBN,1500
60,about,IN,1990
61,also,RB,1399
62,new,JJ,1384
63,other,JJ,1344
64,share,NN,1358
65,:,:,1293
66,not,RB,1262
67,some,DT,1252
68,one,CD,1347
69,I,PRP,1187
70,Corp.,NNP,1163
71,New,NNP,1181
72,;,:,1144
73,years,NNS,1130
74,-RRB-,-RRB-,1122
75,-LRB-,-LRB-,1109
76,shares,NNS,1113
77,stock,NN,1103
78,It,PRP,1088
79,more,JJR,1842
80,could,MD,1033
81,Inc.,NNP,1018
82,two,CD,988
83,last,JJ,1009
84,&,CC,977
85,when,WRB,936
86,because,IN,971
87,trading,NN,1018
88,can,MD,896
89,York,NNP,888
90,into,IN,881
91,president,NN,868
92,business,NN,858
93,after,IN,873
94,Co.,NNP,854
95,up,RP,1624
96,A,DT,869
97,all,DT,1017
98,He,PRP,813
99,sales,NNS,805
100,companies,NNS,790
101,such,JJ,860
102,if,IN,786
103,government,NN,780
104,may,MD,772
105,cents,NNS,745
106,only,RB,897
107,first,JJ,826
108,we,PRP,724
109,any,DT,727
110,many,JJ,718
111,time,NN,704
112,over,IN,844
113,quarter,NN,682
114,prices,NNS,677
115,people,NNS,662
116,now,RB,658
117,week,NN,654
118,them,PRP,649
119,price,NN,654
120,months,NNS,646
121,rose,VBD,635
122,interest,NN,608
123,group,NN,603
124,investors,NNS,601
125,do,VBP,899
126,bonds,NNS,596
127,',POS,712
128,no,DT,671
129,even,RB,589
130,did,VBD,563
131,earnings,NNS,566
132,you,PRP,561
