type,token,index,frequency
word,<PAD>,0,0
word,<UNK>,1,0
word,Pierre,2,6
word,Vinken,3,2
word,",",4,46522
word,numeric-word,5,21244
word,years,6,1130
word,old,7,213
word,will,8,2982
word,join,9,41
word,the,10,39533
word,board,11,297
word,as,12,4055
word,a,13,18470
word,nonexecutive,14,6
word,director,15,309
word,Nov.,16,238
word,.,17,37453
word,Mr.,18,3856
word,is,19,6735
word,chairman,20,429
word,of,21,22104
word,N.V.,22,13
word,Dutch,23,25
word,publishing,24,48
word,group,25,604
word,Rudolph,26,8
word,Agnew,27,3
word,and,28,15359
word,former,29,259
word,Consolidated,30,14
word,Gold,31,16
word,Fields,32,4
word,PLC,33,105
word,was,34,3615
word,named,35,188
word,this,36,1844
word,British,37,309
word,industrial,38,125
word,conglomerate,39,20
word,A,40,869
word,form,41,106
word,asbestos,42,26
word,once,43,162
word,used,44,336
word,to,45,21306
word,make,46,592
word,Kent,47,11
word,cigarette,48,17
word,filters,49,10
word,has,50,3184
word,caused,51,94
word,high,52,340
word,percentage,53,122
word,cancer,54,71
word,deaths,55,29
word,among,56,287
word,workers,57,197
word,exposed,58,19
word,it,59,4509
word,more,60,1842
word,than,61,1586
word,ago,62,436
word,researchers,63,67
word,reported,64,374
word,The,65,6579
word,fiber,66,8
word,crocidolite,67,5
word,unusually,68,19
word,resilient,69,4
word,enters,70,7
word,lungs,71,4
word,with,72,3987
word,even,73,590
word,brief,74,28
word,exposures,75,7
word,causing,76,31
word,symptoms,77,12
word,that,78,7723
word,show,79,199
word,up,80,1625
word,decades,81,24
word,later,82,192
word,said,83,5418
word,Lorillard,84,5
word,Inc.,85,1018
word,unit,86,494
word,New,87,1181
word,York-based,88,32
word,Loews,89,3
word,Corp.,90,1163
word,makes,91,187
word,cigarettes,92,23
word,stopped,93,51
word,using,94,140
word,in,95,14609
word,its,96,3382
word,Although,97,140
word,preliminary,98,45
word,findings,99,27
word,were,100,1777
word,year,101,2162
word,latest,102,193
word,results,103,260
word,appear,104,75
word,today,105,236
word,'s,106,8872
word,England,107,62
word,Journal,108,101
word,Medicine,109,10
word,forum,110,3
word,likely,111,262
word,bring,112,84
word,new,113,1384
word,attention,114,65
word,problem,115,229
word,``,116,13173
word,This,117,384
word,an,118,3015
word,story,119,65
word,We,120,538
word,'re,121,331
word,talking,122,45
word,about,123,1991
word,before,124,485
word,anyone,125,64
word,heard,126,33
word,having,127,120
word,any,128,727
word,questionable,129,12
word,properties,130,71
word,There,131,297
word,no,132,671
word,our,133,336
word,products,134,401
word,now,135,658
word,Neither,136,26
word,nor,137,49
word,who,138,1509
word,studied,139,16
word,aware,140,33
word,research,141,218
word,on,142,4905
word,smokers,143,6
word,have,144,2993
word,useful,145,16
word,information,146,166
word,whether,147,251
word,users,148,35
word,are,149,3629
word,at,150,4142
word,risk,151,150
word,James,152,178
word,A.,153,106
word,Talcott,154,4
word,Boston,155,152
word,Cancer,156,14
word,Institute,157,100
word,Dr.,158,99
word,led,159,141
word,team,160,136
word,from,161,4238
word,National,162,313
word,medical,163,72
word,schools,164,56
word,Harvard,165,23
word,University,166,137
word,spokeswoman,167,92
word,very,168,355
word,modest,169,64
word,amounts,170,72
word,making,171,225
word,paper,172,190
word,for,173,7743
word,early,174,314
word,1950s,175,13
word,replaced,176,25
word,different,177,126
word,type,178,43
word,From,179,41
word,billion,180,1680
word,sold,181,363
word,company,182,2429
word,Among,183,109
word,men,184,97
word,worked,185,70
word,closely,186,80
word,substance,187,11
word,died,188,33
word,--,189,2005
word,three,190,558
word,times,191,182
word,expected,192,500
word,number,193,311
word,Four,194,23
word,five,195,339
word,surviving,196,9
word,asbestos-related,197,5
word,diseases,198,17
word,including,199,404
word,recently,200,242
word,diagnosed,201,4
word,total,202,248
word,malignant,203,7
word,lung,204,10
word,far,205,301
word,higher,206,405
word,rate,207,499
word,striking,208,16
word,finding,209,45
word,those,210,484
word,us,211,180
word,study,212,108
word,West,213,249
word,Mass.,214,55
word,factory,215,38
word,appears,216,65
word,be,217,3584
word,highest,218,57
word,Western,219,153
word,industrialized,220,10
word,countries,221,128
word,he,222,2496
